externalId,Product Review (2),Product Review (7),News Coverage (2),News Coverage (7),Unboxing (2),Unboxing (7),Demonstration (2),Demonstration (7),Advertisement (2),Advertisement (7),Unstructured Use (2),Unstructured Use (7),Unsure (2),Unsure (7),Not Relevent (2),Not Relevent (7)
nirscVsKpQE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NMwGU3tD44c,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ntXzVjEwl3o,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NvqRtP0Dh9I,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NW_A3VUHKVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
nZbdW91q5_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Oc3UEoc7C0s,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
oGL4KoHIYo8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
P1vgKLLF7Rg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
P8cDURx4Ryo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
peewxRlNVqg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
q1dLUamSlGM,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Q6MwHhWrhqQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
qa-JJm8CiiU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QcFy_slVNfg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QfC9kifJyWI,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
QKv1OhXjdkE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Qo-TlQBDQ5c,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
qsfHl1zbKqM,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
QZ-RIhiBtpE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r4Y-furscmY,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
R86ZmIydQ34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rDE15cKeMR0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Re_DtZrsXbs,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
RFniTvmVc1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rgt36vXH6jE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
rjF5jabXRCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rYTOmiIGCY4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
SjjTJjhH5QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sl9l8ngWBKs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SlV80DvSPyE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SmvOPgSsLhw,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SWz5PCTOgag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
szMuc8op7uk,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
T6gofsDJDj0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tazJxRmF7Uk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tdivW7inP0k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tDMTSvTTNyM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TPABwh2E9Tg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
TrsVdQ7DjaQ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tsEXhLvX1zY,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
U8_Bu4cPNXw,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uBgC2arm3mw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UmA-2Gkhytw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uyWKJ2o9gPM,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
V7qLe8_0Cag,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VM7BlFwsR_o,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
vXxAD_Bwm34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
vyGPhUEdp-0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WLROgHKQHZk,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WTNcJeGMhs0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
wzYftndq1F8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
x8DGPcozQYk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
X92f6WH-qvg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xu46jvRlrRA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xyZx0pEbN0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
y3kz7aLRqfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YizYNWYi6FU,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ykUwJ7QGD2g,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTb_DkUAFFw,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YyDMlXEZqb0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Z1IqewSDDcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
z5-YD7oBrZ8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Z625R9eljIc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zhs1DwQB85c,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
zIAu4YnptHw,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
zMP3C3y8o_E,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ZseVAaGlTbk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ZWpgIvikHrU,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
